,anger,joy,fear,love,sadness
0,"[0.843, 0.408, 0.189]","[0.8, 0.56, 0.45]","[0.758, 0.829, 0.103]","[0.8, 0.699, 0.881]","[0.585, 0.52, 0.129]"
1,"[0.738, 0.499, 0.477]","[0.548, 0.805, 0.648]","[0.146, 0.0261, 0.36]","[0.467, 0.757, 0.433]","[0.594, 0.507, 0.137]"
2,"[0.276, 0.639, 0.643]","[0.772, 0.639, 0.261]","[0.419, 0.318, 0.139]","[0.761, 0.489, 0.269]","[0.674, 0.588, 0.208]"
3,"[0.711, 0.269, 0.823]","[0.461, 0.897, 0.358]","[0.718, 0.606, 0.676]","[0.808, 0.737, 0.885]","[0.586, 0.525, 0.146]"
4,"[0.736, 0.482, 0.442]","[0.474, 0.576, 0.285]","[0.66, 0.668, 0.408]","[0.562, 0.742, 0.793]","[0.487, 0.423, 0.781]"
5,"[0.589, 0.914, 0.512]","[0.566, 0.769, 0.385]","[0.718, 0.606, 0.676]","[0.621, 0.374, 0.298]","[0.51, 0.809, 0.486]"
6,"[0.768, 0.767, 0.457]","[0.795, 0.859, 0.356]","[0.703, 0.924, 0.754]","[0.374, 0.121, 0.413]","[0.316, 0.54, 0.0749]"
7,"[0.711, 0.844, 0.124]","[0.705, 0.613, 0.259]","[0.405, 0.933, 0.506]","[0.629, 0.867, 0.876]","[0.281, 0.32, 0.038]"
8,"[0.6, 0.649, 0.688]","[0.684, 0.62, 0.773]","[0.325, 0.943, 0.0608]","[0.484, 0.00642, 0.0397]","[0.268, 0.929, 0.184]"
9,"[0.663, 0.691, 0.816]","[0.715, 0.227, 0.535]","[0.771, 0.578, 0.33]","[0.517, 0.117, 0.401]","[0.518, 0.798, 0.311]"
10,"[0.943, 0.631, 0.347]","[0.824, 0.588, 0.513]","[0.287, 0.138, 0.0922]","[0.184, 0.00527, 0.151]","[0.817, 0.582, 0.397]"
11,"[0.668, 0.743, 0.235]","[0.786, 0.475, 0.264]","[0.172, 0.297, 0.101]","[0.178, 0.113, 0.0348]","[0.699, 0.812, 0.662]"
12,"[0.693, 0.84, 0.91]","[0.903, 0.828, 0.912]","[0.424, 0.206, 0.149]","[0.677, 0.973, 0.536]","[0.807, 0.747, 0.333]"
13,"[0.63, 0.936, 0.733]","[0.824, 0.587, 0.514]","[0.19, 0.00976, 0.0293]","[0.319, 0.315, 0.165]","[0.487, 0.497, 0.207]"
14,"[0.362, 0.987, 0.52]","[0.822, 0.746, 0.298]","[0.146, 0.174, 0.0249]","[0.488, 0.965, 0.229]","[0.52, 0.585, 0.677]"
15,"[0.579, 0.925, 0.66]","[0.875, 0.478, 0.314]","[0.517, 0.907, 0.695]","[0.785, 0.944, 0.253]","[0.42, 0.801, 0.432]"
16,"[0.385, 0.259, 0.134]","[0.622, 0.961, 0.449]","[0.197, 0.173, 0.161]","[0.489, 0.701, 0.739]","[0.636, 0.249, 0.547]"
17,"[0.318, 0.984, 0.716]","[0.794, 0.679, 0.547]","[0.136, 0.0108, 0.0312]","[0.425, 0.274, 0.393]","[0.653, 0.382, 0.848]"
18,"[0.557, 0.699, 0.887]","[0.548, 0.843, 0.719]","[0.169, 0.00154, 0.0283]","[0.273, 0.0721, 0.1]","[0.569, 0.721, 0.751]"
19,"[0.522, 0.882, 0.369]","[0.674, 0.892, 0.889]","[0.854, 0.686, 0.903]","[0.702, 0.00751, 0.576]","[0.496, 0.217, 0.32]"
20,"[0.725, 0.737, 0.219]","[0.736, 0.74, 0.803]","[0.6, 0.828, 0.404]","[0.636, 0.61, 0.296]","[0.54, 0.731, 0.351]"
21,"[0.592, 0.861, 0.794]","[0.682, 0.483, 0.108]","[0.847, 0.421, 0.197]","[0.717, 0.324, 0.548]","[0.648, 0.647, 0.538]"
22,"[0.646, 0.859, 0.628]","[0.789, 0.642, 0.755]","[0.441, 0.524, 0.14]","[0.822, 0.479, 0.72]","[0.509, 0.924, 0.065]"
